"debut";"fin";"Aquitaine";"Austrasie";"Bourgogne";"Neustrie";"Provence";"autres";"ecclesiastiques";"nobles"
"11";610;610;0;0;1;0;0;0;0;1
"12";581;602;0;0;1;0;0;1;0;0
"13";552;587;0;0;1;0;0;0;1;0
"14";613;613;0;0;1;0;0;0;0;1
"15";613;615;0;0;1;0;0;1;0;0
"16";595;614;0;0;1;0;0;1;0;0
"17";600;613;0;0;0;0;0;1;0;0
"18";587;604;0;0;1;0;0;1;0;0
"19";490;518;0;0;1;0;0;1;0;0
"20";609;609;0;0;1;0;0;0;0;1
"21";579;579;0;0;0;1;0;0;0;1
"23";609;612;0;0;1;0;0;0;0;1
"24";581;588;0;1;0;0;0;0;0;1
"25";NA;604;0;0;1;0;0;1;0;0
"26";608;610;0;1;0;0;0;0;0;1
"27";584;589;0;0;1;0;0;0;0;1
"28";566;599;0;1;0;0;0;0;0;1
"29";584;585;0;0;0;0;1;1;0;0
"30";595;601;0;1;0;0;0;0;0;1
"31";613;613;0;0;1;0;0;1;0;0
"32";575;595;0;1;0;0;0;0;0;1
"33";NA;NA;0;0;0;0;0;0;0;0
"34";561;584;0;0;0;1;0;0;0;1
"35";606;610;0;0;1;0;0;1;0;0
"36";584;629;0;0;0;1;0;0;0;1
"37";NA;590;0;0;1;0;0;0;1;0
"39";570;584;0;0;0;1;0;0;0;1
"40";595;603;0;0;1;0;0;1;0;0
"41";585;585;0;0;1;0;0;1;0;0
"42";602;606;0;0;1;0;0;1;0;0
"43";595;613;0;0;1;0;0;1;0;0
"44";589;590;0;0;0;1;0;0;0;1
"46";613;614;0;0;1;0;0;0;0;1
"47";612;629;0;0;1;0;0;0;1;0
"48";569;597;0;0;0;1;0;0;0;1
"49";602;602;1;0;0;0;0;0;0;1
"51";561;593;0;0;1;0;0;0;0;1
"52";575;588;0;1;0;0;0;0;0;1
"54";NA;NA;0;0;0;0;0;0;0;0
"55";600;613;0;0;1;0;0;0;0;1
"56";613;613;0;0;1;0;0;1;0;0
"57";613;613;0;0;0;1;0;1;0;0
"58";604;613;0;0;0;1;0;1;0;0
"59";NA;588;0;0;1;0;0;0;0;1
"60";612;612;0;1;0;0;0;1;0;0
"61";613;614;0;0;1;0;0;1;0;0
"62";584;585;0;0;1;0;0;1;0;0
"63";NA;NA;0;0;0;0;0;0;0;0
"64";NA;NA;0;0;0;0;0;0;0;0
"66";561;570;0;0;1;0;0;0;0;1
"67";602;602;0;0;1;0;0;1;0;0
"68";613;640;0;0;0;0;0;0;0;1
"69";605;605;0;0;1;0;0;1;0;0
"70";604;605;0;0;1;0;0;1;0;0
"71";599;599;0;0;1;0;0;1;0;0
"72";613;614;0;1;0;0;0;1;0;0
"73";609;609;0;0;1;0;0;1;0;0
"74";585;588;0;0;0;1;0;0;0;1
"75";607;613;0;0;1;0;0;1;0;0
"76";607;613;0;0;1;0;0;0;0;1
"77";602;602;0;0;1;0;0;1;0;0
"78";602;603;0;0;1;0;0;1;0;0
"80";NA;NA;0;0;0;0;0;0;0;0
"81";613;613;0;1;0;0;0;0;0;1
"82";516;523;0;0;1;0;0;0;0;1
"83";613;613;0;0;1;0;0;0;0;1
"84";587;587;0;0;1;0;0;0;0;1
"85";596;612;0;1;0;0;0;0;0;1
"86";610;612;0;1;0;0;0;0;0;1
"87";NA;NA;0;0;0;0;0;0;0;0
"89";573;591;0;0;1;0;0;0;0;1
"90";596;613;0;0;1;0;0;0;0;1
"91";588;607;0;0;1;0;0;0;0;1
"92";581;587;0;1;0;0;0;0;0;1
"93";585;591;0;0;1;0;0;1;0;0
"94";595;599;0;0;1;0;0;1;0;0
"95";612;626;0;0;1;0;0;1;0;0
"96";581;585;0;1;0;0;0;0;0;1
"97";605;607;0;0;1;0;0;1;0;0
"99";600;NA;0;0;1;0;0;0;1;0
"100";555;576;0;0;1;0;0;1;0;0
"101";614;614;0;0;0;0;1;1;0;0
"102";542;566;1;0;0;0;0;1;0;0
"103";NA;515;0;0;1;0;0;0;1;0
"104";585;585;0;0;1;0;0;0;1;0
"105";511;533;1;0;0;0;0;1;0;0
"106";520;535;0;0;0;1;0;1;0;0
"107";511;511;0;0;0;1;0;1;0;0
"109";NA;534;1;0;0;0;0;1;0;0
"110";570;570;0;0;1;0;0;1;0;0
"111";485;502;0;0;0;0;1;1;0;0
"114";584;584;0;0;0;1;0;1;0;0
"116";530;541;0;0;0;1;0;1;0;0
"117";558;561;0;0;1;0;0;1;0;0
"118";576;591;0;0;0;1;0;0;1;0
"119";549;549;0;0;0;0;1;0;1;0
"120";NA;525;0;1;0;0;0;1;0;0
"121";549;549;0;0;0;0;1;0;1;0
"122";614;614;1;0;0;0;0;1;0;0
"123";595;636;0;0;1;0;0;0;1;0
"124";587;592;0;1;0;0;0;0;0;1
"125";551;554;0;1;0;0;0;0;1;0
"126";573;594;0;0;0;1;0;0;1;0
"127";555;586;1;0;0;0;0;0;1;0
"128";549;577;0;0;0;1;0;1;0;0
"129";595;613;0;0;1;0;0;1;0;0
"130";NA;NA;0;0;0;0;0;0;0;0
"131";585;586;0;0;1;0;0;1;0;0
"132";506;528;0;0;0;0;1;1;0;0
"133";585;585;0;0;0;0;1;1;0;0
"134";NA;NA;0;0;0;0;0;0;0;0
"135";532;580;0;0;1;0;0;1;0;0
"136";565;570;0;0;1;0;0;1;0;0
"137";581;590;0;0;1;0;0;1;0;0
"138";614;614;0;0;0;0;1;1;0;0
"139";614;627;1;0;0;0;0;1;0;0
"140";558;561;0;0;1;0;0;1;0;0
"141";523;540;0;0;1;0;0;1;0;0
"143";NA;NA;0;0;0;0;0;0;0;0
"145";578;602;0;1;0;0;0;1;0;0
"146";561;575;0;1;0;0;0;1;0;0
"147";484;507;1;0;0;0;0;0;0;1
"148";485;507;1;0;0;0;0;0;1;0
"149";NA;535;0;0;0;1;0;0;1;0
"150";572;576;0;0;0;0;1;1;0;0
"151";501;506;0;0;1;0;0;1;0;0
"152";NA;NA;0;0;0;0;0;0;0;0
"153";516;516;0;0;1;0;0;0;1;0
"154";527;541;0;0;0;0;1;1;0;0
"155";549;549;1;0;0;0;0;1;0;0
"156";465;512;0;1;0;0;0;1;0;0
"157";556;561;0;0;0;1;0;0;0;1
"158";549;549;0;1;0;0;0;1;0;0
"159";NA;545;0;0;0;1;0;1;0;0
"161";540;555;0;0;1;0;0;0;1;0
"162";585;585;0;0;1;0;0;0;1;0
"163";487;515;0;0;1;0;0;1;0;0
"164";570;570;0;0;1;0;0;1;0;0
"165";584;614;0;0;1;0;0;0;1;0
"166";NA;515;0;0;1;0;0;0;1;0
"167";549;574;1;0;0;0;0;1;0;0
"168";546;549;0;0;1;0;0;1;0;0
"169";NA;NA;0;0;0;0;0;0;0;0
"170";580;610;0;0;1;0;0;0;1;0
